2.5	7.75	6.41
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
0.5	8.05	6.42
1.5	8.05	6.42
2.5	8.05	6.42
0.5	7.85	6.42
1.5	7.85	6.42
2.5	7.85	6.42
0.5	7.95	6.42
1.5	7.95	6.42
2.5	7.95	6.42
