0.25	0.5	0.738
0.25	0.5	0.738
0.25	0.5	0.738
0.75	0.5	0.739
0.75	0.5	0.739
0.75	0.5	0.739
1.25	0.5	0.741
1.25	0.5	0.741
1.25	0.5	0.741
1.75	0.5	0.757
1.75	0.5	0.757
1.75	0.5	0.757
2.25	0.5	0.877
2.25	0.5	0.877
2.25	0.5	0.877
2.75	0.5	1
2.75	0.5	1
2.75	0.5	1
3.25	0.5	1
3.25	0.5	1
3.25	0.5	1
3.75	0.5	1
3.75	0.5	1
3.75	0.5	1
4.25	0.5	1
4.25	0.5	1
4.25	0.5	1
4.75	0.5	1
4.75	0.5	1
4.75	0.5	1
5.25	0.5	1
5.25	0.5	1
5.25	0.5	1
5.75	0.5	1
5.75	0.5	1
5.75	0.5	1
6.25	0.5	1
6.25	0.5	1
6.25	0.5	1
6.75	0.5	1
6.75	0.5	1
6.75	0.5	1
7.25	0.5	1
7.25	0.5	1
7.25	0.5	1
7.75	0.5	1
7.75	0.5	1
7.75	0.5	1
